voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,capacity
3.4595383788254757,0.041288146311580017,3.8474921556017785,1.0638101187215918,1.006510524732802,1208.0,0.00016531456953642384,7.097477986641177,0.21789824448970319,0.08802602970774198,1.9321588259507347,0.45848037649267825,0.0033810555394490757,56.00000000000023,-0.005246428353445854,3.9639006245907717,1.45262488888889
3.459490976821192,0.04122081314490956,3.8593288998956563,1.0657733191971361,1.0056744681125218,1207.0,0.0001652029826014915,7.09665074364502,0.21618620786995718,0.08804845921594896,1.9332317144647586,0.46059252895563785,0.0034144027943081513,57.00000000000023,-0.0051561402437979445,3.9799729996807574,1.4507915555555602
3.459506478405316,0.041229790832521394,3.8355380132095003,1.0606629701863837,1.0023215717909075,1203.0,0.00016525353283458047,7.093333959735819,0.21689310336935108,0.08709363208765797,1.9280837281562415,0.456149679212357,0.003425749999152308,57.00000000000023,-0.005098245453416225,3.9822168929275135,1.4495833333333301
3.4595201995012466,0.04129372647529411,3.872324818009722,1.0749799458696558,1.001500576239692,1202.0,0.0001658901830282864,7.092502835547612,0.21654915179236456,0.08738245314287954,1.9336919212208226,0.46315588020757004,0.00348031943215266,58.00000000000023,-0.005025862068965497,3.9985824613431973,1.44866655555556
3.4595565723793675,0.041436127558078205,3.865513160327317,1.074236217607089,1.000641511196561,1201.0,0.00016627810158201497,7.091670747320503,0.21681666882832848,0.0877954217314556,1.9343077876820018,0.46527034108651383,0.0035447361479865364,59.00000000000023,-0.004964406676211575,4.014835162155059,1.44791655555556
3.4595426311407165,0.04132410109211487,3.8365134951059883,1.0669358458925744,0.9998007306247296,1200.0,0.00016566666666666693,7.090838836349267,0.21777377156742284,0.08880292150322848,1.935807773118219,0.46728171852211087,0.0036207639069027546,60.00000000000023,-0.004934999974568665,4.030226496356989,1.44722733333333
3.4595355000000003,0.04128561684431007,3.8668725930638455,1.0739528991455465,0.9989379419962577,1199.0,0.00016605504587155967,7.090005983619578,0.21590655792736618,0.08726172200618988,1.9375909148584252,0.4672033031686647,0.0035897777854071904,60.00000000000023,-0.0048533335367838305,4.031668490083347,1.44644311111111
3.459487333333333,0.04134250446112517,3.857989795702571,1.0725569365046326,0.9989350520494262,1199.0,0.00016605504587155967,7.0900057862761,0.2162112904210245,0.08808881451129152,1.9370992790700028,0.46899114993740726,0.0036548333348168436,61.00000000000023,-0.004813114729083932,4.046630656129284,1.44581544444444
3.459571643035863,0.04133826698207306,3.869194073903059,1.0749249976613704,0.9981099438815658,1198.0,0.0001664440734557598,7.089172124218775,0.21860952359154115,0.08944541617688288,1.9352964333983356,0.4667296364411395,0.0037560833284590147,62.00000000000023,-0.004809677493187676,4.061888280685998,1.44514955555556
3.4595268781302173,0.0413713651382654,3.855386004919122,1.0704830345785379,0.9972793336995454,1197.0,0.00016633249791144533,7.088337631283039,0.21763968246702167,0.08849762293455674,1.9287527975959173,0.4624281255132655,0.003739555555979429,62.00000000000023,-0.004754838512789805,4.0628675244921135,1.44456988888889
3.4594934001670845,0.04140985452429786,3.857775872737708,1.0713294971996958,0.9964429991997624,1196.0,0.00016647157190635456,7.087502424903387,0.21578593730926512,0.08814533497523713,1.9345910367157542,0.4666630885853811,0.0037675138833787873,63.00000000000023,-0.004665079510401141,4.077891425854178,1.44388955555556
3.459536036789298,0.04134269128706092,3.8563293798787206,1.0746765914478493,0.9955933264838338,1195.0,0.0001666108786610879,7.086666887166779,0.21822031271457665,0.08873142964910935,1.9255389489458508,0.457013419768395,0.0038102222262488632,63.00000000000023,-0.004688888913109174,4.078540807880328,1.44334655555556
